,user,tweetText,simplePolarity,nouns,party,state
1581,repcleaver,Proud to announce that has awarded the Community Builders of Kansas City an 800 000 grant to expand the Sun Fresh grocery store on Blue Parkway This funding will help create new jobs while ensuring that local communities have access to healthy nutritious foods,0.28939393939393937,"['proud', 'kansas', 'sun', 'fresh grocery store', 'parkway', 'new jobs', 'local communities', 'healthy nutritious foods']",D,Missouri
1582,repcleaver,Don t miss out on the Jamdemic happening tomorrow night You can livestream some of Kansas City s finest musicians at,0.0,"['don', 'jamdemic', 'kansas', 'city s']",D,Missouri
1583,repcleaver,Happy RedFriday Kansas City Who else has no doubt about another win for ChiefsKingdom and another beat down for RaiderNation Lets go,0.48148148148148145,"['redfriday kansas', 'who', 'chiefskingdom', 'raidernation lets']",D,Missouri
1584,repcleaver,That means everyone avoiding big crowds wearing a mask when leaving your home practicing proper social distancing washing your hands frequently We can crush this virus but we all must do our part For the sake of your family and friends please follow these steps,0.03333333333333333,['big crowds'],D,Missouri
1585,RepSamGraves,Judge Amy Coney Barrett will uphold the Constitution and the laws of our nation as intended by our Founding Fathers We need her on the Supreme Court ConfirmACB,0.0,"['amy coney barrett', 'founding fathers', 'supreme court', 'confirmacb']",R,Missouri
1586,RepSamGraves,I helped secure funding for the Rocheport Bridge replacement on I 70 east of Columbia last year That federal funding unlocked more money to jumpstart s Focus on Bridges program including the replacement of these 4 bridges west of Maryville,0.3,"['rocheport bridge', 'columbia', 'jumpstart s', 'focus', 'bridges', 'maryville']",R,Missouri
1587,RepSamGraves,On the heels of 4 straight months of record smashing job growth American employers added back another 661 000 jobs last month With the exception of the past few months that s the greatest one month total since the Reagan Administration,0.09375,"['straight months', 'job growth', 'american employers', 'month total', 'reagan']",R,Missouri
1588,RepSamGraves,My simple bill to fast track airport improvement projects passed the House last week When it comes to infrastructure projects time is money and my bill will help save both,0.06666666666666667,"['simple bill', 'fast track airport improvement projects', 'infrastructure projects time']",R,Missouri
1589,RepSamGraves,Many small businesses are still suffering and more will close their doors if they don t get the relief they need It s long past time for Speaker Pelosi to stop playing political games and start working to get American small businesses the help they need,0.024999999999999994,"['small businesses', 'don t', 'long past time', 'pelosi', 'political games', 'american small businesses']",R,Missouri
1590,USRepLong, Too many in Washington are focused on radical policy ideas that defund destroy and dismantle We believe in funding our p,0.15,"['too', 'washington', 'radical policy ideas']",R,Missouri
1591,USRepLong, With winter weather on its way many small restaurants and bars are nervous about staying afloat H R 8265 introduced by Ra,0.08333333333333333,"['winter weather', 'small restaurants', 'h r', 'ra']",R,Missouri
1592,USRepLong, What Pelosi should be focused on A COVID relief deal What Pelosi is actually focused on 25th Amendment fantasies So,0.0,"['pelosi', 'covid', 'pelosi', 'amendment']",R,Missouri
1593,USRepLong,has been pushing for mandatory rapid testing in the Capitol since May but Pelosi refuses to implement these cautionary practices that would protect members and staff as they perform their constitutional duties Read more in LongsShortReport,0.5,"['may', 'pelosi', 'cautionary practices', 'constitutional duties', 'read', 'longsshortreport']",R,Missouri
1594,USRepLong, Speaker Pelosi continues to hold commonsense relief hostage to her partisan demands While American families and small busi,-0.125,"['pelosi', 'commonsense relief hostage', 'partisan demands', 'american families', 'small busi']",R,Missouri
1595,RepJasonSmith,Prince Harry and Megan Markle are using foreign titles to campaign against President Trump and interfere with our election Today I asked the British Government to put a stop to it See my full letter below,0.075,"['harry', 'megan markle', 'foreign titles', 'trump', 'british government', 'full letter']",R,Missouri
1596,RepJasonSmith,Pelosi wants more money for state and local government but the nearly 360 BILLION that s already been appropriated is 16 times more than state s 2020 revenue loss Now she wants MORE Something doesn t add up,0.2857142857142857,"['pelosi', 'local government', 'billion', 'state s', 'revenue loss', 'more', 'doesn t']",R,Missouri
1597,RepJasonSmith,The attacks from the left are relentless Our President was sick We should all regardless of party be praying for his full and healthy recovery Unfortunately the reaction to the news was disheartening from so many More of my thoughts here,0.09081632653061224,['healthy recovery'],R,Missouri
1598,RepJasonSmith,I came to Congress to protect hard earned paychecks amp cut government waste As a member of the Budget and Ways amp Means Committee I ve worked hard doing just that It s an honor to be recognized by amp an honor to represent the hard working people of Southern Missouri,-0.21500000000000002,"['congress', 'paychecks amp', 'government waste', 'budget', 'ways', 'means', 'missouri']",R,Missouri
1599,RepJasonSmith,Derek Alms runs Taber Farms a cow calf facility While visiting we spoke about my efforts to hold controlling meat packers accountable amp to support farmers in opening their own packaging facilities Our farmers work hard to feed our families I ll keep working hard for them,-0.029166666666666674,"['derek alms', 'taber farms', 'cow calf facility', 'meat packers', 'accountable amp', 'support farmers', 'farmers work']",R,Missouri
1600,RepTrentKelly,Great presentation LT Austin Gerald with the University of Mississippi NROTC program,0.8,"['great presentation', 'lt austin gerald', 'mississippi nrotc']",R,Mississippi
1601,RepTrentKelly,Cadet Noah Brandon is representing on Virtual Academy Day 2020 The Grenada native is a senior majoring in Civil and Environmental Engineering He is currently in the MS01,0.0,"['cadet noah brandon', 'virtual', 'academy day', 'grenada', 'environmental engineering', 'ms01']",R,Mississippi
1602,RepTrentKelly,Lieutenant Commander Select Kevin Whalen is representing the US Coast Guard Academy this morning for Virtual Academy Day 2020 He oversees missions in MS AK and LA MS01,0.0,"['lieutenant commander select kevin whalen', 'us coast guard academy', 'virtual', 'academy day', 'oversees missions', 'ms ak', 'la ms01']",R,Mississippi
1603,RepTrentKelly,Virtual Academy Day 2020 includes Brittany Thornton a native of Mississippi She is the Supervisory Education Services Specialist assigned to the US Air Force Academy Great to have her on our panel today MS01,0.8,"['virtual', 'academy day', 'brittany thornton', 'mississippi', 'supervisory', 'specialist', 'us air force academy', 'ms01']",R,Mississippi
1604,RepTrentKelly,Virtual Academy Day 2020 is fifteen minutes out Anyone who is interested in attending one of America s service academies will be able to ask questions and receive important information Visit to join our virtual Zoom event,0.3833333333333333,"['virtual', 'academy day', 'america', 's service academies', 'important information', 'visit', 'zoom']",R,Mississippi
1605,BennieGThompson, Thank you Mississippi Rep Bennie Thompson for joining me on PoliticsNation this evening,0.0,"['thank', 'mississippi rep bennie thompson', 'politicsnation']",D,Mississippi
1606,BennieGThompson,skipping How You re confusing me with Senate Republicans,-0.3,[],D,Mississippi
1607,BennieGThompson,Every October people all over the world show their support for people affected by breast cancer Here are some general signs and symptoms,0.05000000000000002,"['october', 'world show', 'breast cancer', 'general signs']",D,Mississippi
1608,BennieGThompson, Highlight on the 2 2 trillion stimulus package All the president needs to do is step up and be the a,0.0,"['highlight', 'trillion stimulus package', 'president needs']",D,Mississippi
1609,BennieGThompson, Congratulations to for your historic performance tonight We re so proud of everything you represent a,0.4,"['congratulations', 'historic performance']",D,Mississippi
1610,RepMichaelGuest,Republicans have exposed the Chinese Communist Party s responsibility for the COVID 19 pandemic Find out more about what was uncovered in the China Task Force report,0.25,"['chinese communist party s responsibility', 'covid', 'find', 'china', 'task force report']",R,Mississippi
1611,RepMichaelGuest,By just taking ten minutes to complete the survey at the link below you can secure thousands of dollars to improve your state in the years to come Don t wait fill it out today,0.16666666666666666,['don'],R,Mississippi
1612,RepMichaelGuest, Soybeans Mississippi soy growers and others are a knowledgeable reliable resource as lawmakers navigate important and consequenti,0.4,"['soybeans mississippi', 'soy growers', 'knowledgeable reliable resource', 'lawmakers navigate']",R,Mississippi
1613,RepMichaelGuest,Hurricane Delta is expected to make landfall in Louisiana this afternoon The storm s size could bring damaging winds to inland counties so those in the Third District should prepare for potential damage Please follow the guidance of your local emergency officials and,-0.025,"['hurricane delta', 'louisiana', 'storm s size', 'inland counties', 'potential damage', 'please', 'local emergency officials']",R,Mississippi
1614,RepMichaelGuest,Hurricane shelters are open in Adams and Pike Counties if you need shelter from the storm,0.0,"['hurricane', 'adams', 'pike']",R,Mississippi
1615,CongPalazzo,The Senate must confirm Judge Amy Coney Barrett She s the right woman for the job,0.2857142857142857,"['amy coney barrett', 'right woman']",R,Mississippi
1616,CongPalazzo, 1122p Locally the heaviest rain is now moving into coastal Mississippi These bands will continue to progress eastwar,0.0,"['locally', 'heaviest rain', 'mississippi', 'progress eastwar']",R,Mississippi
1617,CongPalazzo,Caught up with the Hancock County Port and Harbor Commission to get an update on their strategic plan for 2021 as well as site prep for an airport technology park concept at Stennis International Airport Good things are happening in Hancock County,0.35,"['caught', 'hancock', 'county port', 'harbor commission', 'strategic plan', 'site prep', 'airport technology park concept', 'stennis', 'international airport', 'good things', 'hancock']",R,Mississippi
1618,CongPalazzo,Thank you to for swiftly approving Mississippi s Emergency Declaration request today ahead of Hurricane Delta We appreciate this support from you and your Administration HurricaneDelta,0.0,"['thank', 'mississippi', 'emergency declaration', 'hurricane delta', 'hurricanedelta']",R,Mississippi
1619,CongPalazzo, Tornado Warning including Harrison County MS Jackson County MS until 3 30 PM CDT,0.0,"['tornado warning', 'harrison', 'ms jackson', 'ms', 'pm cdt']",R,Mississippi
1620,GKButterfield,We have lost a giant in Wilson North Carolina s own Bishop J N Perry Jr Congressman Butterfield Statement on the Passing of Bishop J N Perry Jr Representative G K Butterfield,0.3,"['wilson', 'carolina', 'bishop j n perry jr', 'butterfield statement', 'passing', 'bishop j n perry jr', 'g k butterfield']",D,North Carolina
1621,GKButterfield,This year it s more important than ever to have a voting plan Be VotePlanReady and cast your ballot early either by mail or in person If voting by mail request your ballot early and return it promptly North Carolina learn more here,0.32,"['be voteplanready', 'mail request', 'carolina']",D,North Carolina
1622,GKButterfield,DEADLINE approaching Are you registered to vote In North Carolina Oct 9 2020 is the regular voter registration deadline for the 2020 general election Register make a plan and let your voice be heard YourVoiceYourVote,0.016666666666666673,"['deadline', 'carolina oct', 'regular voter registration deadline', 'general election register', 'yourvoiceyourvote']",D,North Carolina
1623,GKButterfield, President Trump has shown his true colors walking away from coronavirus relief negotiations and refusing to give real h,0.275,"['trump', 'true colors', 'coronavirus relief negotiations', 'real h']",D,North Carolina
1624,GKButterfield,Congressman Butterfield Introduces Bipartisan Bill to Fix Medicaid Penalty for Low Cost Generics Representative G K Butterfield,0.0,"['butterfield introduces bipartisan bill', 'fix medicaid penalty', 'low', 'generics', 'g k butterfield']",D,North Carolina
1625,RepHolding,I want to thank in particular for his help on crafting this bill 4 4,0.16666666666666666,[],R,North Carolina
1626,RepHolding,This legislation clears the way for North Carolina to include these essential personnel in their government retirement plans to provide benefits to the hundreds of men and women who risk their lives providing invaluable community services 3 4,0.0,"['carolina', 'essential personnel', 'government retirement plans', 'invaluable community services']",R,North Carolina
1627,RepHolding,For years the IRS has prevented nonprofit firefighters and EMS personnel from joining the North Carolina state retirement system despite providing the same emergency and community services as those employed by the state 2 4,0.0,"['irs', 'nonprofit firefighters', 'ems', 'carolina', 'state retirement system', 'community services']",R,North Carolina
